Popularity in 2005,,,,
Rank,Male name,Number of,Female name,Number of
,,males,,females
733,Justus,276,Belinda,369
734,Kamari,276,Giana,368
735,Nigel,276,Aracely,367
736,Keshawn,275,Aubrie,367
737,Devyn,274,Aleah,366
738,Isai,274,Taliyah,366
739,Johnpaul,273,Aiyana,365
740,Nico,273,Mollie,365
741,Rigoberto,273,Carina,363
742,Dillan,272,Esperanza,363
743,Sterling,272,Harper,363
744,Giovanny,271,Rhiannon,363
745,Keon,271,Rosemary,362
746,Marques,271,Trista,362
747,Jorden,270,Leanna,361
748,Donavan,269,Saige,361
749,Anton,268,Deja,358
750,Enzo,267,Salma,358
751,Josh,266,Tyler,357
752,Karl,265,Alisa,356
753,Konner,265,Frances,355
754,Kale,264,Abigayle,354
755,Demarcus,263,Addyson,354
756,Estevan,263,Tatyana,354
757,Jaeden,263,Frida,352
758,Cale,262,Carol,351
759,Yair,262,Julianne,351
760,Braedon,261,Kelsie,351
761,Glenn,261,Elsa,350
762,Vance,261,Gretchen,349
763,Darryl,260,Hailie,348
764,Bo,259,Shea,348
765,Darien,259,Miah,347
766,Rylee,259,Rowan,347
767,Santos,259,Kaiya,346
768,Alden,258,Aliza,345
769,Gaven,258,Amiya,345
770,Hassan,258,Shyanne,345
771,Ralph,258,Xiomara,344
772,Cannon,257,Journey,343
773,Sheldon,257,Mattie,343
774,Coby,256,Annette,341
775,Augustus,255,Colleen,340
776,Seamus,254,Annabel,338
777,Vaughn,254,Yareli,338
778,Nathen,253,Ashton,334
779,Yosef,253,Brandi,333
780,German,251,Gracelyn,333
781,Layton,251,Libby,333
782,Luciano,250,Desirae,332
783,Roderick,249,Laurel,332
784,Antony,248,Marlee,332
785,Braulio,248,Jacey,331
786,Deangelo,247,Leticia,331
787,Elvis,247,Tina,331
788,Jovanni,247,Destini,330
789,Samir,247,Johana,329
790,Ellis,246,Karly,329
791,Atticus,245,Corinne,328
792,Clark,245,Jaycee,328
793,Malaki,245,Jaylene,328
794,Winston,244,Saniyah,327
795,Jamir,243,Ada,326
796,Adriel,242,Arabella,326
797,Heath,242,Rebeca,326
798,Jean,242,Chelsey,325
799,Sonny,241,Joyce,324
800,Stefan,241,Jaliyah,323
801,Deacon,240,Justine,323
802,Bruno,239,Lucille,323
803,Chaim,239,Sarahi,323
804,Korbin,239,Abril,322
805,Alexandro,238,Ciera,322
806,Marcel,238,Chasity,321
807,Marquise,238,Mikalah,321
808,Rex,237,Kayli,320
809,Shamar,235,Lorelei,320
810,Santino,234,Magdalena,320
811,Kylan,233,Lara,319
812,Mathias,233,Dalia,318
813,Nick,233,Emery,318
814,Cason,232,Keely,318
815,Reynaldo,232,Madalynn,318
816,Jovanny,231,Maura,318
817,Prince,231,Karley,317
818,Quinten,231,Karol,316
819,Makai,230,Raina,316
820,Milton,230,Arleth,314
821,Adonis,229,Blanca,313
822,Garrison,229,Sanaa,312
823,Howard,229,Toni,312
824,Brad,228,Alize,311
825,Remington,228,Yahaira,311
826,Konnor,227,Jewel,310
827,Elmer,226,Amelie,309
828,Jovany,226,Kaylah,309
829,Nestor,226,Kaylen,309
830,Deon,225,Jaylee,307
831,Kaeden,224,Antonia,306
832,Bernard,223,Arlene,306
833,Cortez,223,Cayla,306
834,Braylen,222,Donna,305
835,Carlo,222,Carrie,304
836,Conrad,222,Makaila,304
837,Sidney,222,Kaliyah,303
838,Savion,221,Paloma,303
839,Devonte,220,Yvette,303
840,Ean,220,Alysa,302
841,Jordy,219,Shayna,302
842,Rashad,219,Katharine,301
843,Dangelo,218,Moriah,301
844,Houston,218,Kianna,300
845,Josef,218,Lacie,299
846,Lucian,217,Shaylee,299
847,Pranav,217,Breana,298
848,Antwan,216,Danika,298
849,Aydin,216,Jenifer,298
850,Gonzalo,216,Karma,298
851,Keyon,216,Micaela,298
852,Reuben,216,Bria,296
853,Simeon,216,Kenia,296
854,Cael,215,Yaritza,296
855,Dario,215,Maliyah,295
856,Marcelo,215,Meadow,295
857,Tristian,215,Micah,295
858,Zain,215,Rayna,295
859,Blaze,214,Selina,295
860,Jan,214,Abigale,294
861,Kadyn,214,Aleena,294
862,Sammy,214,Stacey,294
863,Domenic,213,Jaelynn,293
864,Elian,213,Kenna,293
865,Kamden,213,Lyla,293
866,Darwin,212,Siena,293
867,Haden,212,Susana,293
868,Luka,212,Nicolette,292
869,Matias,212,Sandy,292
870,Dexter,211,Yoselin,292
871,Leandro,211,Riya,291
872,Paxton,211,Savana,291
873,Zaire,211,Camilla,290
874,Giovani,210,Devyn,290
875,Jovan,209,Halie,290
876,Nikhil,209,Lizette,290
877,Gordon,208,Aryana,289
878,Teagan,208,Galilea,289
879,Aedan,207,Iyana,289
880,Bronson,207,Sariah,289
881,Franco,207,Abagail,288
882,Jamel,207,Amina,286
883,Korey,207,Phoenix,286
884,Andreas,206,Hillary,285
885,Abdullah,205,Kallie,285
886,Carmine,205,Kya,285
887,Matthias,205,Janiah,284
888,Finnegan,204,Kathy,284
889,Kason,203,Keyla,284
890,Soren,203,Shirley,284
891,Travon,203,Anabelle,283
892,Jacoby,202,Naima,283
893,Kanye,202,Nichole,282
894,Karter,202,Isabell,281
895,Zakary,202,Mina,281
896,Chaz,201,Miya,281
897,Denzel,201,Nyasia,281
898,Ronaldo,201,Tayler,281
899,Vincenzo,201,Charlize,279
900,Damari,200,Joana,279
901,Darrius,199,Adelaide,278
902,Rey,199,Graciela,278
903,Carmelo,198,Jaylyn,278
904,Messiah,198,Shyann,278
905,Stephan,198,Devin,277
906,Zavier,197,Jalyn,277
907,Broderick,196,Flor,276
908,Norman,196,Mira,276
909,Gaige,195,Nya,275
910,Tyshawn,195,Elissa,274
911,Jeramiah,194,Jasmyn,274
912,Royce,194,Mireya,273
913,Shannon,194,Taniyah,273
914,Maximo,193,Anneliese,272
915,Yehuda,193,Chanel,272
916,Gannon,192,Citlali,272
917,Perry,192,Destiney,271
918,Thaddeus,192,Yuliana,271
919,Ethen,191,Alani,270
920,Fredrick,191,Elsie,270
921,Fredy,191,Mandy,270
922,Immanuel,191,Margarita,270
923,Keven,191,Zara,270
924,Maximillian,191,Angeline,269
925,Clifford,190,Candace,269
926,Makhi,190,Elliana,269
927,Sullivan,190,Estefania,269
928,Cristofer,189,Essence,268
929,Jordyn,188,Maleah,268
930,Kamren,188,Unique,268
931,Nash,188,Jalynn,267
932,Zack,188,Livia,266
933,Brenton,187,Maren,266
934,Darin,187,Reina,266
935,Destin,187,Areli,265
936,Leroy,187,Jailyn,265
937,Campbell,186,Astrid,264
938,Colt,186,Nathaly,264
939,Dandre,186,Zariah,264
940,Deshaun,186,Celine,263
941,Dimitri,186,Cloe,263
942,Jaidyn,186,Lacy,263
943,Jarvis,186,Selah,263
944,Tayshaun,186,Anais,262
945,Baby,185,Sky,262
946,Darion,185,Delia,261
947,Daryl,185,Karis,261
948,Stone,185,Kasandra,261
949,Austen,184,Kinsley,261
950,Marquez,184,Shreya,261
951,Rishi,184,Fabiola,260
952,Valentin,184,Katarina,260
953,Earl,183,Chana,259
954,Guadalupe,183,Brylee,258
955,Jaydin,183,Jolette,258
956,Kelton,183,Natalya,258
957,Shea,183,Tatianna,258
958,Yusuf,183,Armani,257
959,Bernardo,182,Charlie,257
960,Elvin,182,Diya,257
961,Hugh,182,Ebony,257
962,Kurt,182,Jayleen,257
963,Mariano,182,Devon,256
964,Gauge,181,Myla,256
965,Menachem,181,Anjali,255
966,Branson,180,Marin,255
967,Camryn,180,Lucero,254
968,Carlton,180,Yuridia,254
969,Dion,180,Alia,252
970,Mikel,180,Drew,252
971,Rocky,180,Hayleigh,252
972,Arnav,179,Jana,252
973,Dallin,179,Roxana,252
974,Fidel,179,Samira,252
975,Keanu,179,Addie,251
976,Efren,178,Dania,251
977,Jaren,178,Nikki,251
978,Reilly,178,Valery,251
979,Shayne,178,Denisse,250
980,Dylon,177,Kinsey,250
981,Maxim,177,Lina,250
982,Rhys,177,Amaris,249
983,Ulysses,177,Katelin,249
984,Irving,176,Averie,248
985,Keyshawn,176,Celina,248
986,Markell,176,Finley,248
987,Cornelius,175,Silvia,248
988,Cristobal,175,Zion,248
989,Daquan,175,Belen,247
990,Geoffrey,174,Felicia,247
991,Jax,174,Maryjane,247
992,Van,174,Elyssa,246
993,Eliseo,173,Lilianna,246
994,Isaak,173,Brianne,245
995,Joan,173,Christiana,245
996,Kennedy,173,Iyanna,245
997,Adin,172,Kaci,245
998,Blaise,172,Leyla,245
999,Fisher,172,Azaria,244
1000,Jaheim,172,Estefani,244
"Note: Rank 1 is the most popular, rank 2 is the next most popular, and so forth.",,,,
,,,,
All names are from Social Security card applications for births that occurred in the United States.,,,,
